	Family	Genus	Sample	Nuccore_id	CP_accession	Nano_CP_Nuccore_ids
ARI44329.1	Circoviridae	Circovirus	Pigeon circovirus	1179696111	ARI44330.1	
AHZ59370.1	Circoviridae	Circovirus	Porcine circovirus 2	633954921	AHZ59371.1	
ABA54884.1	Circoviridae	Circovirus	Muscovy duck circovirus	76782221	ABA54885.1	
AAM61274.1	Circoviridae	Circovirus	Porcine circovirus 1	21610536	AAM61273.1	
ACF47578.1	Circoviridae	Circovirus	Beak and feather disease virus	194318365	ACF47579.1	
AKI69662.1	Circoviridae	Circovirus	Beak and feather disease virus	823668899	AKI69663.1	
AEL89160.1	Circoviridae	Circovirus	Porcine circovirus 2	343131232	AEL89161.1	
APC23552.1	Circoviridae	Circovirus	Porcine circovirus 1	1101566713	APC23551.1	
ADG08016.1	Circoviridae	Circovirus	Porcine circovirus 2	295413556	ADG08017.1	
AHH31444.1	Circoviridae	Circovirus	Columbid circovirus	576638325	AHH31445.1	
ASF79484.1	Circoviridae	Circovirus	Porcine circovirus 2	1212283852	ASF79485.1	
AIT52870.1	Circoviridae	Circovirus	Beak and feather disease virus	697004421	AIT52871.1	
AGX27425.1	Circoviridae	Circovirus	Beak and feather disease virus	549444849	AGX27426.1	
AEW70740.1	Circoviridae	Circovirus	Silurus glanis circovirus	365269054	AEW70739.1	
BAP81707.1	Circoviridae	Circovirus	Porcine circovirus 2	700587464	BAP81708.1	
ACV69949.1	Circoviridae	Circovirus	Muscovy duck circovirus	257815109	ACV69950.1	
ACN41977.1	Circoviridae	Circovirus	Porcine circovirus 2	224381743	ACN41978.1	
AKM52583.1	Circoviridae	Circovirus	Goose circovirus	835278456	AKM52584.1	
ANM47742.1	Circoviridae	Circovirus	Porcine circovirus 2	1038835418	ANM47744.1	
BAP81678.1	Circoviridae	Circovirus	Porcine circovirus 2	700587419	BAP81677.1	
AEL89157.1	Circoviridae	Circovirus	Porcine circovirus 2	343131228	AEL89158.1	
ACB38242.1	Circoviridae	Circovirus	Porcine circovirus 2	170791150	ACB38243.1	
ABI93799.1	Circoviridae	Circovirus	Porcine circovirus 2	115299721	ABI93800.1	
ACN59888.1	Circoviridae	Circovirus	Porcine circovirus 2	224591334	ACN59889.1	
AAZ68044.2	Circoviridae	Circovirus	Columbid circovirus	74136914	AAZ68045.2	
ABQ10606.1	Circoviridae	Circovirus	Porcine circovirus 2	146217082	ABQ10607.1	
ACZ06083.1	Circoviridae	Circovirus	Porcine circovirus 2	268527812	ACZ06084.1	
AIJ28590.1	Circoviridae	Circovirus	Porcine circovirus 1	672442858	AIJ28591.1	
AOS89456.1	Circoviridae	Circovirus	Goose circovirus	1071928918	AOS89457.1	
AHX56382.1	Circoviridae	Circovirus	Beak and feather disease virus	614661664	AHX56383.1	
AKT73320.1	Circoviridae	Circovirus	Porcine circovirus 2	908841151	AKT73322.1	
ADD62475.1	Circoviridae	Circovirus	Human stool-associated circular virus NG13	290783646	ADD62476.1	
ADY62619.1	Circoviridae	Circovirus	Beak and feather disease virus	324975404	ADY62620.1	
ABW76694.1	Circoviridae	Circovirus	Porcine circovirus 2 R0255/209/03	158699274	ABW76695.1	
AIX11626.1	Circoviridae	Circovirus	Bat circovirus POA/2012/I	723005619	AIX11627.1	
AIW81531.1	Circoviridae	Circovirus	Porcine circovirus 2	717648768	AIW81532.1	
AMX23797.1	Circoviridae	Circovirus	Porcine circovirus 2	1016564227	AMX23798.1	
AHX56402.1	Circoviridae	Circovirus	Beak and feather disease virus	614661694	AHX56403.1	
BAP81737.1	Circoviridae	Circovirus	Porcine circovirus 2	700587509	BAP81738.1	
APZ76787.1	Circoviridae	Circovirus	Porcine circovirus 2	1139420704	APZ76788.1	
AAK60462.1	Circoviridae	Circovirus	Porcine circovirus 2	14422165	AAK60463.1	
AEN03327.1	Circoviridae	Circovirus	Porcine circovirus 2	344227266	AEN03326.1	
ARI44299.1	Circoviridae	Circovirus	Pigeon circovirus	1179696065	ARI44300.1	
AOS89452.1	Circoviridae	Circovirus	Goose circovirus	1071928912	AOS89453.1	
AJB29387.1	Circoviridae	Circovirus	Beak and feather disease virus	742523410	AJB29388.1	
ACS37562.1	Circoviridae	Circovirus	Porcine circovirus 2	240002583	ACS37563.1	
ASU92195.1	Circoviridae	Circovirus	Bat circovirus	1235975417	ASU92196.1	
AJF23751.1	Circoviridae	Circovirus	Porcine circovirus 2	749635826	AJF23752.1	
ARI44279.1	Circoviridae	Circovirus	Pigeon circovirus	1179696035	ARI44280.1	
ASU92187.1	Circoviridae	Circovirus	Bat circovirus	1235975405	ASU92188.1	
ABA60803.1	Circoviridae	Circovirus	Porcine circovirus 2 strain SD3	77021898	ABA60804.1	
AOS89492.1	Circoviridae	Circovirus	Goose circovirus	1071928972	AOS89493.1	
AFZ93244.1	Circoviridae	Circovirus	Porcine circovirus 2	429490262	AFZ93245.1	
AKC34835.1	Circoviridae	Circovirus	Duck circovirus	807013812	AKC34836.1	
AHX56424.1	Circoviridae	Circovirus	Beak and feather disease virus	614661727	AHX56425.1	
BAI68103.1	Circoviridae	Circovirus	Beak and feather disease virus	288269639	BAI68104.1	
AAM61266.1	Circoviridae	Circovirus	Porcine circovirus 2	21610530	AAM61265.1	
AER62095.1	Circoviridae	Circovirus	Columbid circovirus	355387250	AER62096.1	
AGC55226.1	Circoviridae	Circovirus	Beak and feather disease virus	442558034	AGC55227.1	
ACO35247.1	Circoviridae	Circovirus	Beak and feather disease virus	225904211	ACO35249.1	
CAC50261.1	Circoviridae	Circovirus	Goose circovirus	15141816	CAC50263.1	
ACX47359.1	Circoviridae	Circovirus	Porcine circovirus 2	260618466	ACX47360.1	
ACL99811.1	Circoviridae	Circovirus	Muscovy duck circovirus	221148400	ACL99812.1	
BAP81696.1	Circoviridae	Circovirus	Porcine circovirus 2	700587446	BAP81695.1	
ARI44293.1	Circoviridae	Circovirus	Pigeon circovirus	1179696056	ARI44294.1	
ABV21961.1	Circoviridae	Circovirus	Porcine circovirus 2	157092214	ABV21962.1	
AHH31423.1	Circoviridae	Circovirus	Columbid circovirus	576638291	AHH31422.1	
AAL58397.1	Circoviridae	Circovirus	Porcine circovirus 2	18071939	AAL58396.1	
ANZ73072.1	Circoviridae	Circovirus	Beak and feather disease virus	1050793080	ANZ73071.1	
AKP92802.1	Circoviridae	Circovirus	Beak and feather disease virus	874346883	AKP92803.1	
ABB59613.1	Circoviridae	Circovirus	Starling circovirus	81176719	ABB59615.1	
ACS37582.1	Circoviridae	Circovirus	Porcine circovirus 2	240002613	ACS37583.1	
ADD62451.1	Circoviridae	Cyclovirus	Cyclovirus PK5006	290783610	ADD62452.1	
ADD62453.1	Circoviridae	Cyclovirus	Cyclovirus PK5034	290783613	ADD62454.1	
ADD62455.1	Circoviridae	Cyclovirus	Cyclovirus PK5222	290783616	ADD62456.1	
ADD62457.1	Circoviridae	Cyclovirus	Cyclovirus PK5510	290783619	ADD62458.1	
ADD62459.1	Circoviridae	Cyclovirus	Cyclovirus PK6197	290783622	ADD62460.1	
ADD62461.1	Circoviridae	Cyclovirus	Cyclovirus Chimp11	290783625	ADD62462.1	
ADD62463.1	Circoviridae	Cyclovirus	Cyclovirus Chimp12	290783628	ADD62464.1	
ADD62471.1	Circoviridae	Cyclovirus	Cyclovirus NG12	290783640	ADD62472.1	
ADD62473.1	Circoviridae	Cyclovirus	Cyclovirus NG14	290783643	ADD62474.1	
ADD62477.1	Circoviridae	Cyclovirus	Cyclovirus TN25	290783649	ADD62478.1	
ADD62479.1	Circoviridae	Cyclovirus	Cyclovirus TN18	290783652	ADD62480.1	
ADI48251.1	Circoviridae	Cyclovirus	Bat cyclovirus GF-4c	297598942	ADI48252.1	
ADU76993.1	Circoviridae	Cyclovirus	Cyclovirus PKbeef23/PAK/2009	316989865	ADU76994.1	
ADU76997.1	Circoviridae	Cyclovirus	Cyclovirus PKgoat11/PAK/2009	316989871	ADU76998.1	
ADU76999.1	Circoviridae	Cyclovirus	Cyclovirus bat/USA/2009	316989874	ADU77000.1	
ADU77011.1	Circoviridae	Cyclovirus	Cyclovirus NGchicken8/NGA/2009	316989892	ADU77012.1	
ADU77013.1	Circoviridae	Cyclovirus	Cyclovirus NGchicken15/NGA/2009	316989895	ADU77014.1	
ADY17982.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309753	ADY17983.1	
ADY17984.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309756	ADY17985.1	
ADY17986.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309759	ADY17987.1	
ADY17990.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309765	ADY17991.1	
ADY18000.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309780	ADY18001.1	
ADY18006.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309789	ADY18007.1	
ADY18014.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309801	ADY18015.1	
ADY18016.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	324309804	ADY18017.1	
AEL87784.1	Circoviridae	Cyclovirus	Bat circovirus ZS/China/2011	343113723	AEL87785.1	
AEL87786.1	Circoviridae	Cyclovirus	Bat associated cyclovirus 2	343113726	AEL87787.1	
AEL87790.1	Circoviridae	Cyclovirus	Bat associated cyclovirus 3	343113732	AEL87791.1	
AEL87792.1	Circoviridae	Cyclovirus	Bat associated cyclovirus 4	343113735	AEL87793.1	
AFS65279.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 5	406870723	AFS65278.1	
AFS65283.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 4	406870729	AFS65282.1	
AFS65285.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 3	406870732	AFS65284.1	
AFS65286.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 3	406870732	AFS65284.1	
AFS65288.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 2	406870736	AFS65287.1	
AFS65292.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	406870742	AFS65291.1	
AFS65294.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 1	406870745	AFS65293.1	
AGC84157.1	Circoviridae	Cyclovirus	Cockroach associated cyclovirus 1	443418567	AGC84156.1	
AGC84158.1	Circoviridae	Cyclovirus	Cockroach associated cyclovirus 1	443418567	AGC84156.1	
AGC84159.1	Circoviridae	Cyclovirus	Cockroach associated cyclovirus 1	443418567	AGC84156.1	
AGJ74752.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 4	480306434	AGJ74751.1	
AGJ74756.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 6	480306440	AGJ74755.1	
AGJ74758.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 7	480306443	AGJ74757.1	
AGJ74760.1	Circoviridae	Cyclovirus	Dragonfly associated cyclovirus 8	480306446	AGJ74759.1	
AGN96211.1	Circoviridae	Cyclovirus	Human cyclovirus VS5700009	512130178	AGN96212.1	
AGO59220.1	Circoviridae	Cyclovirus	Cyclovirus VN	514829143	AGO59221.1	
AGO59222.1	Circoviridae	Cyclovirus	Cyclovirus VN	514829146	AGO59223.1	
AHI42032.2	Circoviridae	Cyclovirus	Human associated cyclovirus 10	584595293	AHI42031.2	
AIF75268.1	Circoviridae	Cyclovirus	Cyclovirus SL-108277	719857162	AIF75267.1	
AII82237.1	Circoviridae	Cyclovirus	Feline cyclovirus	671722095	AII82238.1	
AIX11625.1	Circoviridae	Cyclovirus	Bat circovirus POA/2012/VI	723005616	AIX11624.1	
AIZ46815.1	Circoviridae	Cyclovirus	Swine cyclovirus	730230146	AIZ46816.1	
AIZ46821.1	Circoviridae	Cyclovirus	Human cyclovirus VN-like	730230155	AIZ46822.1	
AIZ46823.1	Circoviridae	Cyclovirus	Human cyclovirus VN-like	730230158	AIZ46824.1	
AKE49355.1	Circoviridae	Cyclovirus	Cyclovirus NI-204	815860958	AKE49354.1	
AKN50607.1	Circoviridae	Cyclovirus	Cyclovirus Equ1	850199433	AKN50608.1	
ALO17914.1	Circoviridae	Cyclovirus	Indian encephalitis associated cyclovirus	1198292134	ALO17913.1	
AMH87650.1	Circoviridae	Cyclovirus	Pacific flying fox associated cyclovirus-1	992391284	AMH87649.1	
AMH87652.1	Circoviridae	Cyclovirus	Pacific flying fox associated cyclovirus-2	992391287	AMH87651.1	
AMH87654.1	Circoviridae	Cyclovirus	Pacific flying fox associated cyclovirus-3	992391290	AMH87653.1	
AMH87656.1	Circoviridae	Cyclovirus	Pacific flying fox associated cyclovirus-3	992391293	AMH87655.1	
AOW44153.1	Circoviridae	Cyclovirus	Mouse cyclovirus	1079708359	AOW44154.1	
ARO38325.1	Circoviridae	Cyclovirus	Cyclovirus sp.	1189354690	ARO38326.1	
ARV76500.1	Circoviridae	Cyclovirus	Duck associated cyclovirus 1	1199907156	ARV76499.1	
BAP81869.1	Circoviridae	Cyclovirus	Cyclovirus ZM32	701456358	BAP81868.1	
BAP81871.1	Circoviridae	Cyclovirus	Cyclovirus ZM01	701456361	BAP81870.1	
BAP81873.1	Circoviridae	Cyclovirus	Cyclovirus ZM36a	701456364	BAP81872.1	
BAP81875.1	Circoviridae	Cyclovirus	Cyclovirus ZM38	701456367	BAP81874.1	
BAP81877.1	Circoviridae	Cyclovirus	Cyclovirus ZM41	701456370	BAP81876.1	
BAP81879.1	Circoviridae	Cyclovirus	Cyclovirus ZM50a	701456373	BAP81878.1	
BAP81881.1	Circoviridae	Cyclovirus	Cyclovirus ZM54	701456376	BAP81880.1	
BAP81883.1	Circoviridae	Cyclovirus	Cyclovirus ZM62	701456379	BAP81882.1	
BAS01237.1	Circoviridae	Cyclovirus	Cyclovirus TsCyV-1_JP-NUBS-2014	891166654	BAS01236.1	
ACA35253.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus-[Yazd]	168988132	ACA35251.1	
ACA35258.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus-[Sh2]	168988138	ACA35256.1	
ACA35293.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus-[K]	168988144	ABG34296.2	
ADV51529.1	Geminiviridae	Becurtovirus	Spinach curly top Arizona virus	319412654	ADV51528.1	
AFK14031.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	387966634	AFK14029.1	
AFK14051.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	387966658	AFK14049.1	
AFK14071.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	387966682	AFK14069.1	
AGD79154.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	443900421	AGD79152.1	
AGD79159.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	443900427	AGD79157.1	
AGD79169.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	443900439	AGD79167.1	
AGD79179.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	443900451	AGD79177.1	
AGD79184.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	443900457	AGD79182.1	
AHC03613.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	564797245	AHC03611.1	
API65449.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	1111690316	API65448.1	
API65450.1	Geminiviridae	Becurtovirus	Beet curly top Iran virus	1111690316	API65448.1	
AGD98635.1	Geminiviridae	Begomovirus	Sida mottle Alagoas virus	444300516	AGD98632.1	
ADW09066.1	Geminiviridae	Begomovirus	Honeysuckle yellow vein virus	320091752	ADW09065.1	
AEY77426.1	Geminiviridae	Begomovirus	Chilli leaf curl virus	373876705	AEY77423.1	
ADD92127.1	Geminiviridae	Begomovirus	African cassava mosaic virus	291292519	ADD92126.1	
AIP89524.1	Geminiviridae	Begomovirus	East African cassava mosaic Kenya virus	685877877	AIP89521.1	
AND95540.1	Geminiviridae	Begomovirus	Ageratum yellow vein China virus	1027589625	AND95538.1	
ACP41023.1	Geminiviridae	Begomovirus	Cotton leaf curl Gezira virus	227809604	ACP41020.1	
AIF75234.1	Geminiviridae	Begomovirus	Watermelon chlorotic stunt virus	665512868	AIF75230.1	
ADO41066.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus India:Bangalore:OY135:2005] India:Bangalore:OY135:2005]	308744211	ADO41062.1	
ADV15505.1	Geminiviridae	Begomovirus	Sida micrantha mosaic virus - Rhombifolia Bolivia:Cerro Fraile 2:2007] Bolivia:Cerro Fraile 2:2007]	317183590	ADV15504.1	
ASR73664.1	Geminiviridae	Begomovirus	Sida Brazil virus	1227482832	ASR73663.1	
AFP87132.1	Geminiviridae	Begomovirus	Soybean chlorotic spot virus	400532024	AFP87130.1	
AHF50403.1	Geminiviridae	Begomovirus	Jatropha mosaic virus	572169405	AHF50402.1	
AEI17654.1	Geminiviridae	Begomovirus	Cotton leaf curl Kokhran virus	336112652	AEI17651.1	
API65468.1	Geminiviridae	Begomovirus	Vernonia crinkle virus	1111690362	API65472.1	
CAH17668.1	Geminiviridae	Begomovirus	Stachytarpheta leaf curl virus - Hn34] Hn34]	51127362	CAH17665.1	
AIP87972.1	Geminiviridae	Begomovirus	African cassava mosaic virus	685876061	AIP87969.1	
ALO78622.1	Geminiviridae	Begomovirus	Cotton leaf curl Kokhran virus - Burewala	953696798	ALO78619.1	
AQX77521.1	Geminiviridae	Begomovirus	Mungbean yellow mosaic India virus	1154339767	AQX77519.1	
BAC55598.1	Geminiviridae	Begomovirus	Ageratum yellow vein virus-[Tomato]	27808424	BAC55595.1	
ALB26116.1	Geminiviridae	Begomovirus	Okra enation leaf curl virus	923142722	ALB26113.1	
CAZ40054.1	Geminiviridae	Begomovirus	Clerodendrum golden mosaic China virus	238955497	CAZ40051.1	
AAP47124.1	Geminiviridae	Begomovirus	Squash leaf curl China virus - K] K]	31323681	AAP47123.1	
CAI26261.2	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus - Mild	156138568	CAI26258.2	
AFD54539.1	Geminiviridae	Begomovirus	Macroptilium yellow spot virus	380448939	AFD54540.1	
ANT48223.1	Geminiviridae	Begomovirus	Sweet potato leaf curl Canary virus	1044453581	ANT48224.1	
BAB86390.1	Geminiviridae	Begomovirus	Tobacco leaf curl Kochi virus-[KK]	19570905	BAB86387.1	
ANW72369.1	Geminiviridae	Begomovirus	Malvastrum yellow vein Honghe virus	1048075318	ANW72364.1	
AJE24810.1	Geminiviridae	Begomovirus	Tomato leaf curl Patna virus	747172784	AJE24807.1	
BAG68467.1	Geminiviridae	Begomovirus	Sweet potato leaf curl virus	195963285	BAG68464.1	
AIP88542.1	Geminiviridae	Begomovirus	South African cassava mosaic virus	685876729	AIP88539.1	
AID07494.1	Geminiviridae	Begomovirus	Euphorbia mosaic virus	656329883	AID07493.1	
ADT70814.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus-JID27	315020465	ADT70813.1	
ABL09098.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus - Potato] Potato]	118603296	ABL09096.1	
AEN03364.1	Geminiviridae	Begomovirus	Tomato chlorotic leaf distortion virus-[Capsicum]	344263616	AEN03362.1	
ANS14411.1	Geminiviridae	Begomovirus	Papaya leaf curl virus	1043327623	ANS14415.1	
AFC37758.1	Geminiviridae	Begomovirus	Tomato leaf curl Palampur virus	378753858	AFC37755.1	
AGA80992.1	Geminiviridae	Begomovirus	Tomato yellow mottle virus	430786166	AGA80991.1	
AIJ03556.1	Geminiviridae	Begomovirus	Coccinia mosaic Tamil Nadu virus	672237942	AIJ03555.1	
ALQ11426.1	Geminiviridae	Begomovirus	Rhynchosia golden mosaic Yucatan virus	957740753	ALQ11424.1	
CAB91854.1	Geminiviridae	Begomovirus	Cotton leaf curl Multan virus-[Faisalabad3]	7960746	CAB91851.1	
CBI70241.1	Geminiviridae	Begomovirus	Tomato leaf curl Namakely virus	290770627	CBI70238.1	
ALB25954.1	Geminiviridae	Begomovirus	Okra enation leaf curl virus	923142533	ALB25951.1	
AIP88565.1	Geminiviridae	Begomovirus	African cassava mosaic virus	685876756	AIP88562.1	
CCM97059.1	Geminiviridae	Begomovirus	Cotton leaf curl Burewala virus	734500383	CCM97057.1	
CAJ78140.1	Geminiviridae	Begomovirus	East African cassava mosaic virus	89330769	CAJ78137.1	
CRI68351.1	Geminiviridae	Begomovirus	Pepper golden mosaic virus	821594702	CRI68348.1	
AFA26464.1	Geminiviridae	Begomovirus	Pepper leaf curl Lahore virus-[Solanum capsicastrum]	374922622	AFA26461.1	
ABL96306.1	Geminiviridae	Begomovirus	Crassocephalum yellow vein virus - Jinghong	119710187	ABL96303.1	
ACK44132.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus	217416945	ACK44128.1	
ADK73351.1	Geminiviridae	Begomovirus	Papaya leaf curl virus	301343686	ADK73348.1	
CAA71980.1	Geminiviridae	Begomovirus	Sida yellow vein virus	1845187	CAA71981.1	
AEY68250.1	Geminiviridae	Begomovirus	Tomato mild yellow leaf curl Aragua virus	373254764	AEY68249.1	
CAE52826.2	Geminiviridae	Begomovirus	Sweet potato leaf curl virus	77917417	CAE52823.1	
CAI45391.1	Geminiviridae	Begomovirus	Senecio yellow mosaic virus	57996899	CAI45388.1	
ASR80874.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	1227601126	ASR80871.1	
AGZ91431.1	Geminiviridae	Begomovirus	Tomato leaf curl Gujarat virus	557315948	AGZ91428.1	
AAK64554.1	Geminiviridae	Begomovirus	Cotton leaf curl Gezira virus-[Okra/Egypt]	18091751	AAK64553.1	
CAZ40066.1	Geminiviridae	Begomovirus	Clerodendrum golden mosaic Jiangsu virus	238955513	CAZ40063.1	
AAF82373.1	Geminiviridae	Begomovirus	Tomato leaf curl Sri Lanka virus	9022409	AAF82370.1	
CAA07047.1	Geminiviridae	Begomovirus	East African cassava mosaic Malawi virus-Malawi[K]	3892573	CAA07045.1	
CBA18068.1	Geminiviridae	Begomovirus	Euphorbia yellow mosaic virus	298103762	CBA18065.1	
AOT83448.1	Geminiviridae	Begomovirus	Sida micrantha mosaic virus	1072901143	AOT83452.1	
CAC85509.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl China virus-Tb[Y10]	18076933	CAC85506.1	
ACA61090.1	Geminiviridae	Begomovirus	Tomato leaf curl Cebu virus	169640041	ACA61089.1	
AFB83432.1	Geminiviridae	Begomovirus	Cotton leaf curl Burewala virus	378407944	AFB83430.1	
AER09329.1	Geminiviridae	Begomovirus	Cleome leaf crumple virus	353525186	AER09330.1	
AIP89708.1	Geminiviridae	Begomovirus	African cassava mosaic virus	685878093	AIP89705.1	
AGH27759.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	465487489	AGH27756.1	
ABM91589.1	Geminiviridae	Begomovirus	Watermelon chlorotic stunt virus	124110401	ABM91588.1	
AQT38106.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus	1150195962	AQT38104.1	
CAA44747.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl Thailand virus-[1]	5731900	CAA44744.1	
CRI06345.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus - Il	909636396	CRI06342.1	
BAK38557.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	334883197	BAK38554.1	
AGH29565.1	Geminiviridae	Begomovirus	Blainvillea yellow spot virus	468184224	AGH29563.1	
AIQ86222.1	Geminiviridae	Begomovirus	Squash leaf curl virus	689200149	AIQ86221.1	
CAJ78134.1	Geminiviridae	Begomovirus	East African cassava mosaic virus	89330762	CAJ78131.1	
ATG84429.1	Geminiviridae	Begomovirus	Tomato leaf curl Kerala virus	1249067990	ATG84427.1	
AAK97536.1	Geminiviridae	Begomovirus	Rhynchosia golden mosaic virus-[Chiapas]	15420989	AAK97539.1	
AEG89941.1	Geminiviridae	Begomovirus	East African cassava mosaic Kenya virus	334714317	AEG89939.1	
AFU83186.1	Geminiviridae	Begomovirus	Bhendi yellow vein mosaic virus	408717575	AFU83187.1	
CAI64608.1	Geminiviridae	Begomovirus	Sri Lankan cassava mosaic virus - India India:Kerala C4] India:Kerala C4]	61657636	CAI64605.1	
AEY77838.1	Geminiviridae	Begomovirus	Chilli leaf curl virus	373880256	AEY77833.1	
CCK73294.1	Geminiviridae	Begomovirus	East African cassava mosaic virus	530776354	CCK73291.1	
AGI16834.1	Geminiviridae	Begomovirus	Sri Lankan cassava mosaic virus-India[Attur:2009]	471470023	AGI16832.1	
AIP88098.1	Geminiviridae	Begomovirus	African cassava mosaic virus	685876208	AIP88095.1	
CRK54650.1	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus	1210278149	CRK54646.1	
ACA60994.1	Geminiviridae	Begomovirus	Tomato leaf curl Philippines virus	169639929	ACA60993.1	
CDW92191.1	Geminiviridae	Begomovirus	Tomato yellow leaf curl Mali virus	827475881	CDW92188.1	
BAC55592.1	Geminiviridae	Begomovirus	Tomato leaf curl Java virus	27808417	BAC55589.1	
AAK69590.1	Geminiviridae	Begomovirus	Mungbean yellow mosaic India virus-[Bangladesh]	14582665	AAK69588.1	
